Date,District,Daily_Cases
2020-04-01,Number inward as at yesterday-10 am,104
2020-04-02,Number inward as at yesterday-10 am,123
2020-04-03,Number inward as at yesterday-10 am,124
2020-04-04,Number inward as at yesterday-10 am,125
2020-04-05,Number inward as at yesterday-10 am,129
2020-04-06,Number inward as at yesterday-10 am,132
2020-04-07,Number inward as at yesterday-10 am,137
2020-04-08,Number inward as at yesterday-10 am,132
2020-04-09,Number inward as at yesterday-10 am,138
2020-04-10,Number inward as at yesterday-10 am,135
2020-04-11,Number inward as at yesterday-10 am,133
2020-04-12,Number inward as at yesterday-10 am,136
2020-04-13,Number inward as at yesterday-10 am,137
2020-04-14,Number inward as at yesterday-10 am,147
2020-04-15,Number inward as at yesterday-10 am,152
2020-04-16,Number inward as at yesterday-10 am,163
2020-04-17,Number inward as at yesterday-10 am,166
2020-04-18,Number inward as at yesterday-10 am,161
2020-04-19,Number inward as at yesterday-10 am,160
2020-04-20,Number inward as at yesterday-10 am,156
2020-04-21,Number inward as at yesterday-10 am,167
2020-04-22,Number inward as at yesterday-10 am,197
2020-04-23,Number inward as at yesterday-10 am,199
2020-04-24,Number inward as at yesterday-10 am,218
2020-04-25,Number inward as at yesterday-10 am,254
2020-04-26,Number inward as at yesterday-10 am,297
2020-04-27,Number inward as at yesterday-10 am,333
2020-04-28,Number inward as at yesterday-10 am,390
2020-04-29,Number inward as at yesterday-10 am,447
2020-04-30,Number inward as at yesterday-10 am,478
2020-05-01,Number inward as at yesterday-10 am,503
2020-05-02,Number inward as at yesterday-10 am,501
2020-05-03,Number inward as at yesterday-10 am,511
2020-05-04,Number inward as at yesterday-10 am,516
2020-05-05,Number inward as at yesterday-10 am,523
2020-05-06,Number inward as at yesterday-10 am,550
2020-05-07,Number inward as at yesterday-10 am,544
2020-05-08,Number inward as at yesterday-10 am,556
2020-05-09,Number inward as at yesterday-10 am,575
2020-05-10,Number inward as at yesterday-10 am,571
2020-05-11,Number inward as at yesterday-10 am,517
2020-05-12,Number inward as at yesterday-10 am,511
2020-05-13,Number inward as at yesterday-10 am,494
2020-05-14,Number inward as at yesterday-10 am,498
2020-05-15,Number inward as at yesterday-10 am,461
2020-05-16,Number inward as at yesterday-10 am,439
2020-05-17,Number inward as at yesterday-10 am,406
2020-05-18,Number inward as at yesterday-10 am,413
2020-05-19,Number inward as at yesterday-10 am,413
2020-05-20,Number inward as at yesterday-10 am,414
2020-05-21,Number inward as at yesterday-10 am,434
2020-05-22,Number inward as at yesterday-10 am,415
2020-05-23,Number inward as at yesterday-10 am,426
2020-05-24,Number inward as at yesterday-10 am,399
2020-05-25,Number inward as at yesterday-10 am,406
2020-05-26,Number inward as at yesterday-10 am,437
2020-05-27,Number inward as at yesterday-10 am,460
2020-05-28,Number inward as at yesterday-10 am,577
2020-05-29,Number inward as at yesterday-10 am,514
2020-05-30,Number inward as at yesterday-10 am,766
2020-05-31,Number inward as at yesterday-10 am,767
2020-06-01,Number inward as at yesterday-10 am,809
2020-06-02,Number inward as at yesterday-10 am,811
2020-06-03,Number inward as at yesterday-10 am,809
2020-06-04,Number inward as at yesterday-10 am,836
2020-06-05,Number inward as at yesterday-10 am,899
2020-06-06,Number inward as at yesterday-10 am,928
2020-06-07,Number inward as at yesterday-10 am,899
2020-06-08,Number inward as at yesterday-10 am,862
2020-06-09,Number inward as at yesterday-10 am,834
2020-06-10,Number inward as at yesterday-10 am,789
2020-06-11,Number inward as at yesterday-10 am,726
2020-06-12,Number inward as at yesterday-10 am,708
2020-06-13,Number inward as at yesterday-10 am,670
2020-06-14,Number inward as at yesterday-10 am,617
2020-06-15,Number inward as at yesterday-10 am,586
2020-06-16,Number inward as at yesterday-10 am,536
2020-06-18,Number inward as at yesterday-10 am,507
